id,x,y
1,1.9,1.9
2,2.7,2.3
3,3.2,4.9
4,2.9,3.4
5,2.0,8.6
6,-0.1,7.7
7,1.3,0.6
8,1.0,5.3
9,1.9,2.0
10,2.4,7.6
11,3.0,-0.6
12,0.5,1.0
13,0.9,2.8
14,0.0,8.4
15,0.4,-1.3
16,-1.5,2.5
17,-1.5,0.2
18,5.8,8.9
19,2.8,6.7
20,0.1,5.3
21,5.8,2.4
22,4.4,6.3
23,2.1,8.1
24,-0.4,4.5
25,-1.5,-1.1
26,-2.0,3.6
27,2.8,-1.9
28,2.1,0.5
29,3.6,2.3
30,0.1,5.6
31,2.1,6.3
32,2.7,7.0
33,3.2,7.4
34,-1.4,0.7
35,-0.5,5.2
36,-0.5,0.1
37,4.6,3.1
38,1.1,6.1
39,2.5,6.6
40,-1.4,2.9
41,2.3,4.0
42,-1.6,5.3
43,2.9,1.3
44,0.2,4.2
45,-1.8,-1.6
46,3.6,2.7
47,-1.6,3.4
48,0.6,2.4
49,2.0,1.5
50,5.3,8.0
51,3.6,2.8
52,2.5,4.6
53,0.1,-0.9
54,4.2,1.8
55,2.4,4.0
56,-1.0,3.4
57,5.0,8.4
58,2.1,1.8
59,3.0,6.9
60,0.5,1.0
61,2.6,3.8
62,-2.0,-1.1
63,4.9,2.0
64,2.1,1.1
65,0.9,3.4
66,2.1,4.0
67,-0.3,6.1
68,0.2,5.7
69,2.9,5.5
70,0.2,0.9
71,1.5,4.2
72,2.5,5.1
73,4.5,5.1
74,4.1,1.2
75,4.7,0.7
76,-1.3,6.8
77,5.4,-0.2
78,3.8,3.8
79,-1.6,7.6
80,-1.4,-1.4
81,5.6,4.5
82,-1.9,3.0
83,-0.1,7.3
84,3.7,-1.0
85,3.1,-0.5
86,0.4,-0.2
87,3.8,2.1
88,0.5,1.5
89,2.1,-0.6
90,3.8,4.6
91,3.7,2.8
92,2.1,0.7
93,1.5,0.8
94,3.7,1.9
95,3.9,4.5
96,1.7,2.6
97,3.4,-0.1
98,2.0,2.0
99,-0.6,1.6
100,-0.3,1.4
