id,category
1,inside
2,inside
3,inside
4,inside
5,outside
6,outside
7,inside
8,inside
9,inside
10,outside
11,outside
12,inside
13,inside
14,outside
15,outside
16,outside
17,outside
18,outside
19,inside
20,inside
21,outside
22,outside
23,outside
24,outside
25,outside
26,outside
27,outside
28,inside
29,inside
30,inside
31,inside
32,inside
33,outside
34,outside
35,outside
36,outside
37,outside
38,inside
39,inside
40,outside
41,inside
42,outside
43,inside
44,inside
45,outside
46,inside
47,outside
48,inside
49,inside
50,outside
51,inside
52,inside
53,outside
54,outside
55,inside
56,outside
57,outside
58,inside
59,inside
60,inside
61,inside
62,outside
63,outside
64,inside
65,inside
66,inside
67,outside
68,inside
69,inside
70,inside
71,inside
72,inside
73,outside
74,outside
75,outside
76,outside
77,outside
78,inside
79,outside
80,outside
81,outside
82,outside
83,outside
84,outside
85,outside
86,outside
87,inside
88,inside
89,outside
90,inside
91,inside
92,inside
93,inside
94,inside
95,inside
96,inside
97,outside
98,inside
99,outside
100,outside
