id,category
1,inside
2,outside
3,inside
4,boundary
5,inside
6,outside
7,inside
8,outside
9,outside
10,inside
11,inside
12,inside
13,outside
14,inside
15,boundary
16,inside
17,inside
18,inside
19,inside
20,inside
21,outside
22,inside
23,inside
24,inside
25,outside
26,outside
27,inside
28,inside
29,inside
30,inside
31,inside
32,inside
33,inside
34,inside
35,outside
36,outside
37,inside
38,inside
39,inside
40,outside
41,inside
42,inside
43,inside
44,inside
45,boundary
46,outside
47,inside
48,inside
49,inside
50,outside
51,boundary
52,inside
53,inside
54,inside
55,outside
56,outside
57,outside
58,inside
59,inside
60,inside
61,inside
62,inside
63,inside
64,inside
65,inside
66,inside
67,outside
68,inside
69,outside
70,boundary
71,inside
72,inside
73,boundary
74,outside
75,inside
76,inside
77,boundary
78,inside
79,inside
80,outside
81,inside
82,inside
83,inside
84,inside
85,inside
86,inside
87,inside
88,inside
89,inside
90,outside
91,boundary
92,boundary
93,outside
94,inside
95,inside
96,boundary
97,inside
98,outside
99,inside
100,outside
