id,x,y
1,0.3,3.3
2,0.5,5.1
3,4.0,5.2
4,4.5,8.2
5,2.6,0.5
6,0.2,5.9
7,0.5,3.4
8,1.2,0.6
9,-1.0,-1.6
10,3.1,3.6
11,1.0,4.9
12,2.8,6.1
13,2.4,2.5
14,2.3,2.0
15,-2.0,2.3
16,0.4,3.2
17,4.3,4.6
18,5.1,6.6
19,3.3,2.2
20,0.2,1.3
21,3.2,0.6
22,2.3,1.9
23,-0.7,-0.9
24,0.5,7.7
25,2.0,0.1
26,3.6,3.3
27,1.3,0.9
28,0.3,5.0
29,2.6,0.9
30,2.9,6.0
31,2.4,0.2
32,3.1,8.7
33,0.4,1.6
34,1.1,0.5
35,1.5,7.0
36,3.0,5.4
37,2.2,-1.8
38,0.0,4.2
39,2.3,2.3
40,1.5,1.5
41,0.8,6.7
42,3.6,6.1
43,1.9,0.0
44,1.6,1.3
45,0.9,1.1
46,-0.7,4.3
47,5.7,6.5
48,0.6,3.1
49,1.8,2.8
50,1.7,5.7
51,3.4,4.0
52,0.9,5.0
53,0.2,4.7
54,2.3,6.1
55,1.8,7.2
56,1.4,6.4
57,4.7,8.5
58,3.4,0.9
59,0.6,5.5
60,2.7,5.3
61,2.5,1.5
62,2.2,0.4
63,3.9,4.5
64,2.3,5.9
65,2.9,2.5
66,0.3,4.7
67,3.2,3.3
68,2.7,6.5
69,0.7,4.1
70,0.2,3.6
71,0.9,5.3
72,3.4,4.4
73,5.0,3.6
74,0.3,0.7
75,0.2,2.1
76,3.2,2.9
77,0.7,6.7
78,1.8,-0.7
79,0.3,6.1
80,1.5,2.3
81,1.3,0.2
82,2.4,6.9
83,5.3,-1.5
84,3.7,-0.2
85,3.3,2.9
86,2.3,1.1
87,2.8,6.1
88,4.1,5.3
89,1.5,5.6
90,2.7,0.4
91,2.6,6.3
92,1.7,-1.8
93,-0.8,5.9
94,3.0,1.5
95,2.0,6.2
96,2.8,1.1
97,0.2,1.9
98,1.8,1.9
99,1.5,5.9
100,3.1,0.10000000000000009
