id,category
1,inside
2,inside
3,inside
4,outside
5,inside
6,inside
7,inside
8,inside
9,outside
10,outside
11,inside
12,inside
13,inside
14,inside
15,outside
16,inside
17,outside
18,outside
19,inside
20,inside
21,inside
22,outside
23,outside
24,outside
25,inside
26,outside
27,inside
28,inside
29,inside
30,outside
31,inside
32,outside
33,inside
34,inside
35,outside
36,inside
37,outside
38,outside
39,inside
40,inside
41,inside
42,inside
43,outside
44,inside
45,inside
46,outside
47,outside
48,inside
49,outside
50,inside
51,outside
52,inside
53,inside
54,inside
55,outside
56,inside
57,outside
58,inside
59,inside
60,outside
61,outside
62,inside
63,inside
64,inside
65,inside
66,inside
67,outside
68,inside
69,inside
70,inside
71,inside
72,inside
73,outside
74,outside
75,inside
76,inside
77,outside
78,outside
79,inside
80,outside
81,inside
82,inside
83,outside
84,outside
85,inside
86,inside
87,inside
88,outside
89,inside
90,inside
91,inside
92,outside
93,outside
94,inside
95,inside
96,inside
97,inside
98,outside
99,inside
100,inside
