id,x,y
1,1.2,0.3
2,2.5,0.8
3,3.4,6.0
4,1.4,0.8
5,0.2,4.9
6,3.0,6.4
7,2.1,2.2
8,0.3,2.4
9,3.4,5.0
10,1.8,6.5
11,1.5,6.7
12,0.3,3.3
13,0.7,6.5
14,4.4,0.6
15,3.0,0.3
16,2.1,4.3
17,2.7,-2.0
18,2.1,6.3
19,1.4,3.4
20,0.3,4.2
21,5.1,7.4
22,3.0,5.0
23,0.0,0.1
24,5.5,6.5
25,0.6,6.6
26,3.4,2.7
27,1.4,3.4
28,1.4,6.2
29,0.8,6.1
30,1.6,8.2
31,0.6,0.6
32,3.4,6.6
33,0.7,6.1
34,5.0,1.8
35,0.8,6.7
36,3.8,1.0
37,4.1,8.9
38,3.4,0.3999999999999999
39,1.3,0.8
40,1.5,6.6
41,1.7,6.4
42,3.6,4.2
43,0.9,2.0
44,0.7,6.5
45,2.4,1.0
46,1.1,1.6
47,4.2,7.9
48,2.4,-0.3
49,-0.4,-0.3
50,3.5,0.5
51,1.1,6.3
52,3.0,6.2
53,5.2,3.2
54,-1.1,2.5
55,2.4,0.2
56,-1.5,3.3
57,2.1,2.5
58,1.9,6.1
59,3.6,0.2
60,0.3,2.8
61,0.4,4.2
62,3.4,0.8
63,2.2,6.3
64,4.0,5.8
65,4.0,1.0
66,3.1,4.5
67,-1.9,6.6
68,0.7,0.7
69,5.1,5.6
70,3.4,2.0
71,2.3,0.0
72,4.9,6.4
73,0.4,-0.6
74,3.9,6.0
75,3.3,4.7
76,3.4,2.1
77,0.6,2.8
78,3.8,4.8
79,3.2,5.6
80,1.9,5.8
81,2.7,1.7000000000000002
82,0.2,2.9
83,0.1,3.4
84,4.5,4.9
85,3.8,5.1
86,3.3,4.2
87,2.6,1.0
88,0.8,1.0
89,2.2,5.8
90,2.2,2.2
91,3.0,0.8
92,0.2,6.8
93,0.8,0.19999999999999996
94,3.1,4.0
95,3.7,6.9
96,2.4,1.0
97,0.7,6.9
98,-1.2,-1.2
99,3.5,4.3
100,-1.9,3.1
