id,category
1,inside
2,inside
3,boundary
4,outside
5,outside
6,inside
7,outside
8,inside
9,inside
10,outside
11,outside
12,inside
13,inside
14,inside
15,outside
16,boundary
17,outside
18,outside
19,outside
20,inside
21,outside
22,outside
23,outside
24,outside
25,outside
26,outside
27,outside
28,outside
29,outside
30,outside
31,outside
32,outside
33,outside
34,outside
35,outside
36,outside
37,outside
38,outside
39,outside
40,outside
41,inside
42,inside
43,inside
44,inside
45,inside
46,inside
47,inside
48,inside
49,inside
50,inside
51,inside
52,inside
53,inside
54,inside
55,inside
56,inside
57,inside
58,inside
59,inside
60,inside
61,inside
62,inside
63,inside
64,inside
65,inside
66,inside
67,inside
68,inside
69,inside
70,inside
71,inside
72,inside
73,inside
74,inside
75,inside
76,inside
77,inside
78,inside
79,inside
80,inside
81,inside
82,inside
83,inside
84,inside
85,inside
86,inside
87,inside
88,inside
89,inside
90,inside
91,boundary
92,boundary
93,inside
94,boundary
95,boundary
96,boundary
97,outside
98,boundary
99,boundary
100,boundary
